"","len","sup","conf","condition","pred"
"1","1","0.014","0.611","E_EDU_F %in% c('1','2')","1"
"2","2","0.003","0.663","AGE>13.5 & E_EDU_F %in% c('1','2')","1"
"3","2","0.003","0.743","E_EDU_F %in% c('1','2') & O_BR_S %in% c('2','3','4')","1"
"4","2","0.014","0.629","E_EDU_F %in% c('1','2') & WC_MN %in% c('2')","1"
"5","2","0.013","0.624","E_EDU_F %in% c('1','2') & WC_MN_M03 %in% c('1')","1"
"6","2","0.006","0.609","E_EDU_F %in% c('1','2','4') & WC_MN_M03 %in% c('1')","1"
"7","2","0.005","0.619","E_EDU_F %in% c('2') & WC_MN_M03 %in% c('1')","1"
"8","2","0.005","0.704","GRADE %in% c('1','3','4','5','6') & E_EDU_F %in% c('1','2')","1"
"9","2","0.002","0.615","INT_WK_MM %in% c('0','2','3','4','5','6','7','8','9','10') & F_WAT %in% c('3','4','5')","1"
"10","3","0.003","0.663","AGE>13.5 & E_EDU_F %in% c('1','2') & WC_MN %in% c('2')","1"
"11","3","0.003","0.663","AGE>13.5 & E_EDU_F %in% c('1','2') & WC_MN_M03 %in% c('1')","1"
"12","3","0.003","0.743","E_EDU_F %in% c('1','2') & WC_MN %in% c('2') & O_BR_S %in% c('2','3','4')","1"
"13","3","0.013","0.628","E_EDU_F %in% c('1','2') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1')","1"
"14","3","0.003","0.743","E_EDU_F %in% c('1','2') & WC_MN_M03 %in% c('1') & O_BR_S %in% c('2','3','4')","1"
"15","3","0.006","0.622","E_EDU_F %in% c('1','2','4') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1')","1"
"16","3","0.004","0.633","E_EDU_F %in% c('2') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1')","1"
"17","3","0.005","0.704","GRADE %in% c('1','3','4','5','6') & E_EDU_F %in% c('1','2') & WC_MN %in% c('2')","1"
"18","3","0.004","0.707","GRADE %in% c('1','3','4','5','6') & E_EDU_F %in% c('1','2') & WC_MN_M03 %in% c('1')","1"
"19","3","0.005","0.623","GRADE %in% c('1','3','4','5','6') & E_EDU_F %in% c('1','2','4') & WC_MN_M03 %in% c('1')","1"
"20","3","0.003","0.605","GRADE %in% c('1','3','4','5','6') & PA_MSC %in% c('1','3') & WC_MN_M03 %in% c('1')","1"
"21","3","0.002","0.615","INT_WK_MM %in% c('0','2','3','4','5','6','7','8','9','10') & F_WAT %in% c('3','4','5') & WC_MN %in% c('2')","1"
"22","3","0.006","0.623","PA_MSC %in% c('1','3') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1')","1"
"23","3","0.005","0.602","WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & O_BR_S %in% c('2','3','4')","1"
"24","4","0.003","0.663","AGE>13.5 & E_EDU_F %in% c('1','2') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1')","1"
"25","4","0.003","0.743","E_EDU_F %in% c('1','2') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & O_BR_S %in% c('2','3','4')","1"
"26","4","0.004","0.707","GRADE %in% c('1','3','4','5','6') & E_EDU_F %in% c('1','2') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1')","1"
"27","4","0.005","0.623","GRADE %in% c('1','3','4','5','6') & E_EDU_F %in% c('1','2','4') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1')","1"
"28","4","0.004","0.628","GRADE %in% c('1','3','4','5','6') & F_WAT %in% c('1','3','4','5') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1')","1"
"29","4","0.003","0.605","GRADE %in% c('1','3','4','5','6') & PA_MSC %in% c('1','3') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1')","1"
